VARIANT,ANTENNA_ID,X,Y,Z
6A,0,-4752407.385,2790374.052,-3200483.747
6A,1,-4752088.877,2790914.767,-3200483.747
6A,2,-4751646.074,2791666.493,-3200483.747
6A,3,-4751094.512,2792602.854,-3200483.747
6A,4,-4750923.605,2792892.994,-3200483.747
6A,5,-4749393.198,2795491.05,-3200483.6939999997
6B,0,-4752422.922,2790347.675,-3200483.747
6B,1,-4751941.2760000015,2791165.342,-3200483.747
6B,2,-4751296.492,2792259.961,-3200483.747
6B,3,-4751024.596,2792721.547,-3200483.747
6B,4,-4750915.837,2792906.182,-3200483.747
6B,5,-4749393.198,2795491.05,-3200483.6939999997
6C,0,-4752438.459,2790321.299,-3200483.747
6C,1,-4752360.774,2790453.1810000003,-3200483.747
6C,2,-4751560.621,2791811.563,-3200483.747
6C,3,-4751350.872,2792167.644,-3200483.747
6C,4,-4751024.596,2792721.547,-3200483.747
6C,5,-4749393.198,2795491.05,-3200483.6939999997
6D,0,-4752376.311000002,2790426.8039999995,-3200483.747
6D,1,-4752189.868,2790743.3210000005,-3200483.747
6D,2,-4751785.907,2791429.106,-3200483.747
6D,3,-4751133.353999998,2792536.913,-3200483.747
6D,4,-4751094.512,2792602.854,-3200483.747
6D,5,-4749393.198,2795491.05,-3200483.6939999997
1.5A,0,-4751661.6110000005,2791640.117,-3200483.747
1.5A,1,-4751583.926,2791771.999,-3200483.747
1.5A,2,-4751296.492,2792259.961,-3200483.747
1.5A,3,-4751133.353999998,2792536.913,-3200483.747
1.5A,4,-4750915.837,2792906.182,-3200483.747
1.5A,5,-4749393.198,2795491.05,-3200483.6939999997
1.5B,0,-4751576.158,2791785.187,-3200483.747
1.5B,1,-4751560.621,2791811.563,-3200483.747
1.5B,2,-4751172.197,2792470.972,-3200483.747
1.5B,3,-4751024.596,2792721.547,-3200483.747
1.5B,4,-4750923.605,2792892.994,-3200483.747
1.5B,5,-4749393.198,2795491.05,-3200483.6939999997
1.5C,0,-4751677.148,2791613.7410000004,-3200483.747
1.5C,1,-4751444.094,2792009.3860000004,-3200483.747
1.5C,2,-4751094.512,2792602.854,-3200483.747
1.5C,3,-4750962.448,2792827.0530000003,-3200483.747
1.5C,4,-4750923.605,2792892.994,-3200483.747
1.5C,5,-4749393.198,2795491.05,-3200483.6939999997
1.5D,0,-4751646.074,2791666.493,-3200483.747
1.5D,1,-4751591.695,2791758.81,-3200483.747
1.5D,2,-4751350.872,2792167.644,-3200483.747
1.5D,3,-4751024.596,2792721.547,-3200483.747
1.5D,4,-4750915.837,2792906.182,-3200483.747
1.5D,5,-4749393.198,2795491.05,-3200483.6939999997
750A,0,-4751296.492,2792259.961,-3200483.747
750A,1,-4751172.197,2792470.972,-3200483.747
750A,2,-4751102.281,2792589.666,-3200483.747
750A,3,-4750962.448,2792827.0530000003,-3200483.747
750A,4,-4750923.605,2792892.994,-3200483.747
750A,5,-4749393.198,2795491.05,-3200483.6939999997
750B,0,-4751677.148,2791613.7410000004,-3200483.747
750B,1,-4751591.695,2791758.81,-3200483.747
750B,2,-4751560.621,2791811.563,-3200483.747
750B,3,-4751350.872,2792167.644,-3200483.747
750B,4,-4751288.7239999985,2792273.149,-3200483.747
750B,5,-4749393.198,2795491.05,-3200483.6939999997
750C,0,-4751941.2760000015,2791165.342,-3200483.747
750C,1,-4751785.907,2791429.106,-3200483.747
750C,2,-4751661.6110000005,2791640.117,-3200483.747
750C,3,-4751583.926,2791771.999,-3200483.747
750C,4,-4751560.621,2791811.563,-3200483.747
750C,5,-4749393.198,2795491.05,-3200483.6939999997
750D,0,-4751661.6110000005,2791640.117,-3200483.747
750D,1,-4751646.074,2791666.493,-3200483.747
750D,2,-4751444.094,2792009.3860000004,-3200483.747
750D,3,-4751350.872,2792167.644,-3200483.747
750D,4,-4751296.492,2792259.961,-3200483.747
750D,5,-4749393.198,2795491.05,-3200483.6939999997
EW367,0,-4751630.537,2791692.87,-3200483.747
EW367,1,-4751583.926,2791771.999,-3200483.747
EW367,2,-4751560.621,2791811.563,-3200483.747
EW367,3,-4751475.1680000005,2791956.633,-3200483.747
EW367,4,-4751444.094,2792009.3860000004,-3200483.747
EW367,5,-4749393.198,2795491.05,-3200483.6939999997
EW352,0,-4751646.074,2791666.493,-3200483.747
EW352,1,-4751630.537,2791692.87,-3200483.747
EW352,2,-4751591.695,2791758.81,-3200483.747
EW352,3,-4751568.389,2791798.375,-3200483.747
EW352,4,-4751467.399,2791969.8210000005,-3200483.747
EW352,5,-4749393.198,2795491.05,-3200483.6939999997
H214,0,-4751677.148,2791613.7410000004,-3200483.747
H214,1,-4751630.537,2791692.87,-3200483.747
H214,2,-4751560.621,2791811.563,-3200483.747
H214,3,-4751648.226,2791738.818,-3200417.642
H214,4,-4751708.034,2791774.047,-3200298.653
H214,5,-4749393.198,2795491.05,-3200483.6939999997
H168,0,-4751661.6110000005,2791640.117,-3200483.747
H168,1,-4751630.537,2791692.87,-3200483.747
H168,2,-4751576.158,2791785.187,-3200483.747
H168,3,-4751661.517,2791746.647,-3200391.2
H168,4,-4751688.098,2791762.3039999995,-3200338.316
H168,5,-4749393.198,2795491.05,-3200483.6939999997
H75,0,-4751630.537,2791692.87,-3200483.747
H75,1,-4751615.0,2791719.2460000003,-3200483.747
H75,2,-4751591.695,2791758.81,-3200483.747
H75,3,-4751628.291,2791727.075,-3200457.305
H75,4,-4751648.226,2791738.818,-3200417.642
H75,5,-4749393.198,2795491.05,-3200483.6939999997
EW214,0,-4751677.148,2791613.7410000004,-3200483.747
EW214,1,-4751646.074,2791666.493,-3200483.747
EW214,2,-4751630.537,2791692.87,-3200483.747
EW214,3,-4751591.695,2791758.81,-3200483.747
EW214,4,-4751568.389,2791798.375,-3200483.747
EW214,5,-4749393.198,2795491.05,-3200483.6939999997
NS214,0,-4751615.0,2791719.2460000003,-3200483.747
NS214,1,-4751628.291,2791727.075,-3200457.305
NS214,2,-4751661.517,2791746.647,-3200391.2
NS214,3,-4751688.098,2791762.3039999995,-3200338.316
NS214,4,-4751708.034,2791774.047,-3200298.653
NS214,5,-4749393.198,2795491.05,-3200483.6939999997
122C,0,-4751677.148,2791613.7410000004,-3200483.747
122C,1,-4751661.6110000005,2791640.117,-3200483.747
122C,2,-4751646.074,2791666.493,-3200483.747
122C,3,-4751630.537,2791692.87,-3200483.747
122C,4,-4751615.0,2791719.2460000003,-3200483.747
122C,5,-4749393.198,2795491.05,-3200483.6939999997
